customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,contract_encoded,contract_risk_score,has_internet,is_fiber,is_dsl,payment_Bank transfer (automatic),payment_Credit card (automatic),payment_Electronic check,payment_Mailed check,is_auto_payment,is_electronic_check,OnlineSecurity_binary,OnlineBackup_binary,DeviceProtection_binary,TechSupport_binary,StreamingTV_binary,StreamingMovies_binary,MultipleLines_binary,tenure_group,tenure_group_encoded,is_new_customer,price_segment,price_segment_encoded,is_high_price,TotalCharges_log,avg_monthly_spend,total_services,security_services_count,entertainment_services_count,has_any_services,is_fully_engaged,has_security_bundle,has_premium_protection,has_security_gap,has_partial_security,is_likely_household,family_size_indicator,is_heavy_streaming,projected_24m_value,revenue_per_month,loyalty_value_score,mtm_new_customer,mtm_mid_tenure,long_contract_loyal,fiber_mtm_risk,fiber_long_contract,high_price_no_services,high_price_full_services,new_customer_high_price,echeck_no_autopay,paperless_no_autopay,senior_no_support,single_minimal_services,is_flight_risk,is_value_at_risk,needs_retention,upsell_opportunity,premium_retention_target
9763-GRSKD,1,0,1,1,13,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,0,2,1,0,1,False,False,False,True,0,0,1,0,0,0,0,0,0,13-24m,1,0,medium,1,0,6.377491961323671,41.96071428571429,1,1,0,1,0,0,0,0,1,1,2,0,1198.8000000000002,45.18846153846154,545.4892857142858,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7469-LKBCI,1,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,2,0,0,0,0,False,True,False,False,1,0,0,0,0,0,0,0,0,13-24m,1,0,low,0,0,5.792403666309729,19.223529411764705,0,0,0,0,0,0,0,0,0,0,0,0,454.79999999999995,20.425,307.5764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8091-TTVAX,1,0,1,0,58,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,1,1,1,1,0,False,True,False,False,1,0,0,0,1,0,1,1,1,37m+,3,0,high,2,1,8.645076161696084,96.28983050847458,3,1,2,1,0,0,0,0,1,1,1,1,2408.3999999999996,97.95,5584.810169491526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0280-XJGEX,1,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,0,2,1,1,0,True,False,False,False,1,0,0,1,1,0,1,1,1,37m+,3,0,high,2,1,8.524625503233533,100.726,4,2,2,1,0,0,0,0,1,0,0,1,2488.8,102.78163265306122,4935.574,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5129-JLPIS,1,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,0,2,1,1,0,False,False,True,False,0,1,1,0,1,1,1,1,0,25-36m,2,0,premium,3,1,7.8961992165555,103.3096153846154,5,3,2,1,0,0,0,0,0,0,0,1,2532.0,107.44200000000001,2582.7403846153848,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
3655-SNQYZ,0,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,2,0,1,1,0,False,True,False,False,1,0,1,1,1,1,1,1,1,37m+,3,0,premium,3,1,8.974130577893364,112.78785714285712,6,4,2,1,1,1,1,0,0,1,2,1,2718.0,114.42246376811593,7782.362142857141,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8191-XWSZG,0,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,1,1,0,0,0,False,False,False,True,0,0,0,0,0,0,0,0,0,37m+,3,0,low,0,0,6.931422976282321,19.300943396226412,0,0,0,0,0,0,0,0,0,0,0,0,495.59999999999997,19.672115384615385,1003.6490566037734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9959-WOFKT,1,0,0,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,2,0,1,1,0,True,False,False,False,1,0,1,0,1,0,1,1,1,37m+,3,0,premium,3,1,8.906969200059761,102.53125,4,2,2,1,0,0,0,0,1,1,1,1,2560.8,103.97535211267606,7279.71875,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4190-MFLUW,0,0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,0,2,1,0,1,False,True,False,False,1,0,0,0,1,1,0,0,0,0-12m,0,1,medium,1,0,6.271649838789389,48.03181818181818,2,2,0,1,0,0,0,0,1,1,2,0,1324.8000000000002,52.835,480.3181818181818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4183-MYFRB,0,0,0,0,21,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0,0,2,1,1,0,False,False,True,False,0,1,0,1,1,0,0,1,0,13-24m,1,0,high,2,1,7.530426345737758,84.67727272727274,3,2,1,1,0,0,0,0,1,0,0,0,2161.2,88.70952380952382,1778.2227272727275,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
8779-QRDMV,1,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,0,2,1,0,1,False,False,True,False,0,1,0,0,1,0,0,1,0,0-12m,0,1,medium,1,0,3.70499883599382,19.825,2,1,1,1,0,0,0,0,1,0,0,0,951.5999999999999,39.65,19.825,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1680-VDCWW,1,0,1,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,1,1,0,0,0,True,False,False,False,1,0,0,0,0,0,0,0,0,0-12m,0,1,low,0,0,5.31443674842792,15.557692307692308,0,0,0,0,0,0,0,0,0,1,1,0,475.20000000000005,16.854166666666668,186.6923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066-JKSGK,1,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,0,2,0,0,0,False,False,False,True,0,0,0,0,0,0,0,0,0,0-12m,0,1,low,0,0,3.0516399054922867,10.075,0,0,0,0,0,0,0,0,0,0,0,0,483.59999999999997,20.15,10.075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3638-WEABW,0,0,1,0,58,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,2,0,1,0,1,False,True,False,False,1,0,0,1,0,1,0,0,1,37m+,3,0,medium,1,0,8.16225958760722,59.40847457627118,2,2,0,1,0,0,0,0,1,1,1,0,1437.6,60.432758620689654,3445.6915254237288,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6322-HRPFA,1,0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,0,2,1,0,1,False,True,False,False,1,0,1,1,0,1,0,0,0,37m+,3,0,medium,1,0,7.996754846467186,59.406000000000006,3,3,0,1,0,1,0,0,0,1,2,0,1430.4,60.61836734693878,2910.8940000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6865-JZNKO,0,0,0,0,30,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,0,2,1,0,1,True,False,False,False,1,0,1,1,0,0,0,0,0,25-36m,2,0,medium,1,0,7.3340682196031395,49.37419354838709,2,2,0,1,0,1,0,0,1,0,0,0,1327.1999999999998,51.019999999999996,1481.2258064516127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6467-CHFZW,1,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,0,2,1,1,0,False,False,True,False,0,1,0,1,0,0,1,1,1,37m+,3,0,high,2,1,8.46593147547745,98.940625,3,1,2,1,0,0,0,0,1,1,2,1,2384.3999999999996,101.04574468085106,4650.209374999999,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
8665-UTDHZ,1,0,1,1,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,0,2,1,0,1,False,False,True,False,0,1,0,1,0,0,0,0,0,0-12m,0,1,low,0,0,3.4404180948154366,15.1,1,1,0,1,0,0,0,0,1,1,2,0,724.8,30.2,15.1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5248-YGIJN,1,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0,2,0,1,0,1,False,True,False,False,1,0,1,1,1,1,1,1,1,37m+,3,0,high,2,1,8.759425389713137,87.2527397260274,6,4,2,1,1,1,1,0,0,1,1,1,2166.0,88.46458333333334,6282.1972602739725,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8773-HHUOZ,0,0,0,1,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,0,2,1,0,1,False,False,False,True,0,0,0,0,0,0,1,1,0,13-24m,1,0,medium,1,0,6.9976873864827445,60.727777777777774,2,0,2,1,0,0,0,1,0,1,1,1,1552.8000000000002,64.3,1032.3722222222223,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3841-NFECX,0,1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0,2,0,1,1,0,False,True,False,False,1,0,1,1,1,1,0,0,1,37m+,3,0,high,2,1,8.819953513551914,93.98541666666668,4,4,0,1,0,1,1,0,0,1,1,0,2312.3999999999996,95.30915492957746,6672.964583333334,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4929-XIHVW,1,1,1,0,2,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0,2,1,1,0,False,True,False,False,1,0,0,0,1,0,1,1,0,0-12m,0,1,high,2,1,5.207571753241291,60.55,3,1,2,1,0,0,0,0,1,1,1,1,2292.0,90.825,121.1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
6827-IEAUQ,0,0,1,1,27,1,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0,1,1,1,0,1,False,False,False,True,0,0,1,1,1,1,0,0,0,25-36m,2,0,medium,1,0,7.536603909609118,66.94464285714285,4,4,0,1,0,1,1,0,0,1,2,0,1587.6000000000001,69.42407407407407,1807.505357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7310-EGVHZ,1,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,0,2,0,0,0,True,False,False,False,1,0,0,0,0,0,0,0,0,0-12m,0,1,low,0,0,3.054001181677967,10.1,0,0,0,0,0,0,0,0,0,0,0,0,484.79999999999995,20.2,10.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3413-BMNZE,1,1,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,0,2,1,0,1,True,False,False,False,1,0,0,0,0,0,0,0,0,0-12m,0,1,medium,1,0,3.834061463958434,22.625,0,0,0,0,0,0,0,1,0,0,0,0,1086.0,45.25,22.625,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6234-RAAPL,0,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,7251.7,0,2,0,1,1,0,True,False,False,False,1,0,1,1,0,1,1,0,1,37m+,3,0,high,2,1,8.88912909231302,99.33835616438355,4,3,1,1,0,1,0,0,0,1,2,0,2397.6000000000004,100.71805555555555,7152.361643835616,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6047-YHPVI,1,0,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,0,0,0,0-12m,0,1,medium,1,0,5.761736867916757,52.81666666666666,0,0,0,0,0,0,0,1,0,0,0,0,1672.8000000000002,63.379999999999995,264.0833333333333,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
6572-ADKRS,0,0,0,0,46,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,0,2,1,1,0,False,True,False,False,1,0,0,0,1,0,0,0,0,37m+,3,0,high,2,1,8.174505679927726,75.49574468085106,1,1,0,1,0,0,0,0,1,0,0,0,1795.1999999999998,77.13695652173914,3472.804255319149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5380-WJKOV,1,0,0,0,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,0,2,1,1,0,False,False,True,False,0,1,0,1,1,0,1,1,1,25-36m,2,0,premium,3,1,8.174773302525123,101.40714285714286,4,2,2,1,0,0,0,0,1,0,0,1,2552.3999999999996,104.38970588235294,3447.842857142857,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
8168-UQWWF,0,0,0,0,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,0,2,1,1,0,True,False,False,False,1,0,0,0,1,0,1,1,1,0-12m,0,1,high,2,1,7.008866780350549,92.11666666666667,3,1,2,1,0,0,0,0,1,0,0,1,2348.3999999999996,100.4909090909091,1013.2833333333334,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
8865-TNMNX,1,0,1,1,10,1,No,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,475.7,0,1,1,1,0,1,False,False,False,True,0,0,0,1,0,0,0,0,0,0-12m,0,1,medium,1,0,6.16688736221078,43.24545454545454,1,1,0,1,0,0,0,0,1,1,2,0,1189.1999999999998,47.57,432.45454545454544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9489-DEDVP,0,0,1,1,70,1,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,1,Credit card (automatic),69.2,4872.35,0,2,0,1,0,1,False,True,False,False,1,0,1,1,0,0,1,0,1,37m+,3,0,medium,1,0,8.491536864602452,68.62464788732395,3,2,1,1,0,1,0,0,1,1,2,0,1660.8000000000002,69.605,4803.725352112676,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9867-JCZSP,0,0,1,1,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25,0,1,1,0,0,0,False,False,False,True,0,0,0,0,0,0,0,0,0,13-24m,1,0,low,0,0,6.038467400703318,23.23611111111111,0,0,0,0,0,0,0,0,0,1,2,0,498.0,24.602941176470587,395.01388888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4671-VJLCL,0,0,0,0,63,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),79.85,4861.45,0,2,0,1,0,1,False,True,False,False,1,0,1,1,1,1,1,0,1,37m+,3,0,high,2,1,8.489297705097483,75.96015625,5,4,1,1,0,1,1,0,0,0,0,0,1916.3999999999999,77.16587301587302,4785.48984375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4080-IIARD,0,0,1,0,13,1,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45,0,0,2,1,0,1,False,False,True,False,0,1,1,1,0,1,1,0,1,13-24m,1,0,high,2,1,6.890049451863205,70.10357142857143,4,3,1,1,0,1,0,0,0,1,1,0,1828.8000000000002,75.49615384615385,911.3464285714285,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
3714-NTNFO,0,0,0,0,49,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7,0,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,0,1,1,37m+,3,0,high,2,1,8.270704244607035,78.134,1,0,1,1,0,0,0,1,0,0,0,0,2028.0,79.72857142857143,3828.566,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0
5948-UJZLF,1,0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,97.0,0,0,2,1,0,1,False,False,False,True,0,0,0,1,0,0,0,0,0,0-12m,0,1,medium,1,0,4.584967478670572,32.333333333333336,1,1,0,1,0,0,0,0,1,0,0,0,1182.0,48.5,64.66666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7760-OYPDY,0,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,1,0,0,0-12m,0,1,high,2,1,4.977767690470639,48.05,1,0,1,1,0,0,0,1,0,0,0,0,1935.6000000000001,72.075,96.1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
7639-LIAYI,1,0,0,0,52,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8,0,2,0,1,0,1,False,True,False,False,1,0,1,0,0,1,1,1,1,37m+,3,0,high,2,1,8.347306006402459,79.5811320754717,4,2,2,1,0,0,0,0,1,0,0,1,1914.0,81.11153846153846,4138.218867924528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2954-PIBKO,0,0,1,1,69,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,0,2,0,1,0,1,False,True,False,False,1,0,1,0,1,1,0,0,1,37m+,3,0,medium,1,0,8.355873542493944,60.77285714285715,3,3,0,1,0,0,0,0,0,1,2,0,1539.6000000000001,61.6536231884058,4193.327142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8012-SOUDQ,0,1,0,0,43,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75,0,0,2,1,1,0,False,False,True,False,0,1,0,1,0,0,1,0,1,37m+,3,0,high,2,1,8.253162539295738,87.24431818181819,2,1,1,1,0,0,0,0,1,0,0,0,2166.0,89.27325581395348,3751.505681818182,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0
9420-LOJKX,0,0,0,0,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,0,2,1,1,0,False,True,False,False,1,0,1,1,0,0,1,1,0,13-24m,1,0,high,2,1,7.263609886536967,89.15,4,2,2,1,0,1,0,0,1,0,0,1,2378.3999999999996,95.09333333333333,1337.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6575-SUVOI,0,1,1,0,25,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,0,2,1,0,1,False,True,False,False,1,0,1,0,0,1,1,0,1,25-36m,2,0,medium,1,0,7.4694546091209375,67.40961538461539,3,2,1,1,0,0,0,0,1,1,1,0,1668.0,70.10600000000001,1685.2403846153848,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7495-OOKFY,0,1,1,0,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,0,2,1,1,0,False,True,False,False,1,0,0,1,0,0,0,0,1,0-12m,0,1,high,2,1,6.452522028639852,70.36666666666666,1,1,0,1,0,0,0,0,1,1,1,0,1935.6000000000001,79.1625,562.9333333333333,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
4667-QONEA,0,1,1,1,60,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,4456.35,0,1,1,1,0,1,False,True,False,False,1,0,1,1,1,1,0,1,0,37m+,3,0,high,2,1,8.402309698021336,73.05491803278689,5,4,1,1,0,1,1,0,0,1,2,0,1796.3999999999999,74.27250000000001,4383.295081967213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658-BYGOY,1,1,0,0,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,1,1,1,13-24m,1,0,high,2,1,7.469397583573476,92.23947368421052,2,0,2,1,0,0,0,1,0,0,0,1,2290.8,97.36388888888888,1660.3105263157895,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0
8769-KKTPH,0,0,1,1,63,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0,1,1,1,1,0,False,True,False,False,1,0,1,0,0,0,1,1,1,37m+,3,0,high,2,1,8.750239547701803,98.6125,3,1,2,1,0,0,0,0,1,1,2,1,2391.6000000000004,100.17777777777778,6212.5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5067-XJQFU,1,1,1,1,66,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35,0,1,1,1,1,0,False,False,True,False,0,1,0,1,1,1,1,1,1,37m+,3,0,premium,3,1,8.864654822837052,105.61716417910448,5,3,2,1,0,0,0,0,0,1,2,1,2602.8,107.21742424242424,6970.732835820895,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
