customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,contract_encoded,contract_risk_score,has_internet,is_fiber,is_dsl,payment_Bank transfer (automatic),payment_Credit card (automatic),payment_Electronic check,payment_Mailed check,is_auto_payment,is_electronic_check,OnlineSecurity_binary,OnlineBackup_binary,DeviceProtection_binary,TechSupport_binary,StreamingTV_binary,StreamingMovies_binary,MultipleLines_binary,tenure_group,tenure_group_encoded,is_new_customer,price_segment,price_segment_encoded,is_high_price,TotalCharges_log,avg_monthly_spend
7639-LIAYI,1,0,0,0,52,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8,0,2,0,1,0,1,False,True,False,False,1,0,1,0,0,1,1,1,1,37m+,3,0,high,2,1,8.347306006402459,79.5811320754717
2954-PIBKO,0,0,1,1,69,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,0,2,0,1,0,1,False,True,False,False,1,0,1,0,1,1,0,0,1,37m+,3,0,medium,1,0,8.355873542493944,60.77285714285715
8012-SOUDQ,0,1,0,0,43,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75,0,0,2,1,1,0,False,False,True,False,0,1,0,1,0,0,1,0,1,37m+,3,0,high,2,1,8.253162539295738,87.24431818181819
9420-LOJKX,0,0,0,0,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,0,2,1,1,0,False,True,False,False,1,0,1,1,0,0,1,1,0,13-24m,1,0,high,2,1,7.263609886536967,89.15
6575-SUVOI,0,1,1,0,25,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,0,2,1,0,1,False,True,False,False,1,0,1,0,0,1,1,0,1,25-36m,2,0,medium,1,0,7.4694546091209375,67.40961538461539
7495-OOKFY,0,1,1,0,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,0,2,1,1,0,False,True,False,False,1,0,0,1,0,0,0,0,1,0-12m,0,1,high,2,1,6.4525220286398515,70.36666666666666
4667-QONEA,0,1,1,1,60,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,4456.35,0,1,1,1,0,1,False,True,False,False,1,0,1,1,1,1,0,1,0,37m+,3,0,high,2,1,8.402309698021336,73.05491803278689
1658-BYGOY,1,1,0,0,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,1,1,1,13-24m,1,0,high,2,1,7.4693975835734765,92.23947368421052
8769-KKTPH,0,0,1,1,63,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0,1,1,1,1,0,False,True,False,False,1,0,1,0,0,0,1,1,1,37m+,3,0,high,2,1,8.750239547701803,98.6125
5067-XJQFU,1,1,1,1,66,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35,0,1,1,1,1,0,False,False,True,False,0,1,0,1,1,1,1,1,1,37m+,3,0,premium,3,1,8.864654822837052,105.61716417910448
3957-SQXML,0,0,1,1,34,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,894.3,0,2,0,0,0,0,False,True,False,False,1,0,0,0,0,0,0,0,1,25-36m,2,0,low,0,0,6.7971588576401105,25.55142857142857
5954-BDFSG,0,0,0,0,72,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.5,7853.7,0,2,0,1,1,0,False,True,False,False,1,0,0,0,1,1,1,1,1,37m+,3,0,premium,3,1,8.968867357726134,107.58493150684932
0434-CSFON,0,0,1,0,47,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,4707.1,0,0,2,1,1,0,False,False,True,False,0,1,0,0,1,0,1,1,1,37m+,3,0,high,2,1,8.457039708596394,98.06458333333335
1215-FIGMP,1,0,0,0,60,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,0,2,1,1,0,True,False,False,False,1,0,0,1,0,0,1,0,1,37m+,3,0,high,2,1,8.603682765623805,89.35573770491803
0526-SXDJP,1,0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,2962.0,0,2,0,1,0,1,True,False,False,False,1,0,1,1,1,0,0,0,0,37m+,3,0,medium,1,0,7.993957547573565,40.57534246575342
0557-ASKVU,0,0,1,1,18,1,No,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),54.4,957.1,0,1,1,1,0,1,False,True,False,False,1,0,0,0,1,1,0,0,0,13-24m,1,0,medium,1,0,6.864952156656828,50.373684210526314
5698-BQJOH,0,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,1,1,1,0-12m,0,1,high,2,1,6.754895432337801,85.725
5122-CYFXA,0,0,0,0,3,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,75.3,244.1,0,0,2,1,0,1,False,False,True,False,0,1,0,1,0,1,1,1,0,0-12m,0,1,high,2,1,5.501666290534067,61.025
8627-ZYGSZ,1,0,1,0,47,1,Yes,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,3650.35,0,1,1,1,1,0,False,False,True,False,0,1,0,1,0,0,0,0,1,37m+,3,0,high,2,1,8.202852241207772,76.04895833333333
3410-YOQBQ,0,0,0,0,31,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,79.2,2497.2,0,2,0,1,0,1,False,False,False,True,0,0,0,1,1,1,1,1,0,25-36m,2,0,high,2,1,7.823325751531809,78.0375
3170-NMYVV,0,0,1,1,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0,2,0,0,0,0,True,False,False,False,1,0,0,0,0,0,0,0,0,37m+,3,0,low,0,0,6.83722551279161,18.25294117647059
7410-OIEDU,1,0,0,0,10,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.85,887.35,0,0,2,1,1,0,False,False,False,True,0,0,1,0,1,0,0,0,0,0-12m,0,1,high,2,1,6.789365809481915,80.66818181818182
2273-QCKXA,1,0,0,0,1,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05,0,0,2,1,0,1,False,False,False,True,0,0,0,0,0,1,0,0,0,0-12m,0,1,medium,1,0,3.9130225057612296,24.525
0731-EBJQB,0,0,1,1,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,1090.65,0,1,1,0,0,0,False,False,True,False,0,1,0,0,0,0,0,0,0,37m+,3,0,low,0,0,6.995445592109125,20.578301886792456
1891-QRQSA,1,1,1,1,64,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,7099.0,0,2,0,1,1,0,True,False,False,False,1,0,1,0,1,1,1,1,1,37m+,3,0,premium,3,1,8.867850063029406,109.21538461538462
8028-PNXHQ,1,0,1,1,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,1424.6,0,2,0,0,0,0,True,False,False,False,1,0,0,0,0,0,0,0,1,37m+,3,0,low,0,0,7.262348056716545,22.61269841269841
5630-AHZIL,0,0,0,1,3,1,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,0,2,1,0,1,True,False,False,False,1,0,1,0,0,1,0,1,0,0-12m,0,1,medium,1,0,5.184028220145909,44.35
2673-CXQEU,0,1,0,0,56,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,110.5,6139.5,0,1,1,1,1,0,False,False,True,False,0,1,1,1,1,0,1,1,1,37m+,3,0,premium,3,1,8.722661451050438,107.71052631578948
6416-JNVRK,0,0,0,0,46,1,No,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),55.65,2688.85,0,1,1,1,0,1,False,True,False,False,1,0,0,0,0,0,0,1,0,37m+,3,0,medium,1,0,7.8972407089593375,57.2095744680851
5590-ZSKRV,0,0,1,1,8,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.65,482.25,0,0,2,1,0,1,False,False,False,True,0,0,1,1,0,0,0,0,0,0-12m,0,1,medium,1,0,6.18053411808844,53.583333333333336
0191-ZHSKZ,1,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,0,0,2,1,0,1,False,False,True,False,0,1,1,1,0,0,1,1,0,25-36m,2,0,high,2,1,7.655532680193197,68.10645161290323
3887-PBQAO,0,0,1,1,45,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,1216.6,0,1,1,0,0,0,False,True,False,False,1,0,0,0,0,0,0,0,1,37m+,3,0,low,0,0,7.104636987107422,26.44782608695652
5919-TMRGD,0,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,1,0,2,1,1,0,False,False,True,False,0,1,0,0,0,0,1,0,0,0-12m,0,1,high,2,1,4.386392092183521,39.675
8108-UXRQN,0,0,1,1,11,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,50.55,565.35,0,0,2,1,0,1,False,False,True,False,0,1,1,0,0,0,1,1,0,0-12m,0,1,medium,1,0,6.339212261646723,47.112500000000004
9191-MYQKX,0,0,1,0,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,0,2,1,1,0,True,False,False,False,1,0,0,0,1,0,0,0,0,0-12m,0,1,high,2,1,6.210399253648137,62.1125
9919-YLNNG,0,0,0,0,42,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,0,2,1,1,0,True,False,False,False,1,0,0,1,1,1,1,1,0,37m+,3,0,high,2,1,8.372976340655828,100.63953488372093
0318-ZOPWS,0,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,973.35,0,2,0,0,0,0,True,False,False,False,1,0,0,0,0,0,0,0,0,37m+,3,0,low,0,0,6.881770582010144,19.467
4445-ZJNMU,1,0,0,0,9,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.3,918.75,0,0,2,1,1,0,False,True,False,False,1,0,0,1,0,0,1,1,1,0-12m,0,1,high,2,1,6.824101893984884,91.875
4808-YNLEU,0,0,1,0,35,1,No,DSL,Yes,No,No,No,Yes,No,One year,1,Bank transfer (automatic),62.15,2215.45,0,1,1,1,0,1,True,False,False,False,1,0,1,0,0,0,1,0,0,25-36m,2,0,medium,1,0,7.703662095843597,61.540277777777774
1862-QRWPE,0,0,1,1,48,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057.0,0,2,0,0,0,0,True,False,False,False,1,0,0,0,0,0,0,0,0,37m+,3,0,low,0,0,6.964135612418245,21.571428571428573
2796-NNUFI,0,0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,927.1,0,2,0,0,0,0,False,False,False,True,0,0,0,0,0,0,0,0,0,37m+,3,0,low,0,0,6.833139485601347,19.72553191489362
3016-KSVCP,1,0,1,0,29,0,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,33.75,1009.25,0,0,2,1,0,1,False,False,False,True,0,0,0,0,0,0,1,0,0,25-36m,2,0,low,0,0,6.917953103958583,33.641666666666666
4767-HZZHQ,1,0,1,1,30,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,0,2,1,1,0,True,False,False,False,1,0,0,1,1,0,0,0,0,25-36m,2,0,high,2,1,7.852127994983248,82.90967741935484
2424-WVHPL,1,1,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,74.7,74.7,0,0,2,1,1,0,False,False,True,False,0,1,0,0,0,1,0,0,0,0-12m,0,1,high,2,1,4.3267781604434035,37.35
7233-PAHHL,1,0,1,1,66,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Mailed check,84.0,5714.25,0,2,0,1,0,1,False,False,False,True,0,0,1,0,1,1,1,1,1,37m+,3,0,high,2,1,8.65089331980408,85.28731343283582
6067-NGCEU,0,0,0,0,65,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,0,2,1,1,0,False,True,False,False,1,0,1,1,1,0,1,1,1,37m+,3,0,premium,3,1,8.868976189274543,107.68181818181819
